Individual ID	Original Coverage	100x Coverage	80x Coverage	60x Coverage	30x-40x Coverage
H133673	98		81	60	32
H134753	105		80	60	33
H134754	67			60	32
H134755	81			60	32
H134756	91		80	60	32
H134757	71			60	32
H134202	67			60	33
H135022	114	100	80	60	33
H135062	92		80	60	33
H135066	77			60	32
H135073	104		80	60	33
H135074	81			60	32
H135076	87		80	60	33
H133676	69			60	34
H134769	103		80	60	33
H135387	98		80	60	33
H135393	81			60	32
H135421	149	100	80	60	33
H135463	76			60	33
H135420	127	100	80	60	34
H134733	69			60	33
H135467	111	100	80	60	35
H108333	114	101	80	60	33
H135459	90		80	60	33
H135466	103		80	60	33
H135973	106	101	81	60	34
H135963	91		80	59	33
H135967	99		80	60	34
H135988	113	100	80	60	35
H135990	108	100	79	59	34
H136062	78			60	34
H136134	99		80	60	32
H136136	128	100	80	60	33
H135089	108	100	80	60	34
H136083	94		80	60	36
H136139	81			59	35
H136375	98		80	60	34
H136424	133	100	81	60	36
H136425	117	100	80	60	36
H136428	114	100	80	60	35
H135088	89		80	59	32
H133672	101		80	60	32
H133671	92		80	60	32
H133675	144	100	80	60	32
H133674	95		80	60	32
H136631	82			60	33
H136632	113	100	80	60	37
H136633	107	100	80	60	36
H136640	83			60	35
H136641	86		80	60	35
H136648	181	100	80	60	36
H156407	95		79	60	34
H156409	80			60	34
H156416	93		79	60	33
H136433	82			60	34
H156418	106	100	80	60	32
H158151	76			60	33
H158180	91		80	60	33
H158181	99		80	60	33
H158182	155	100	79	59	34
H158183	85			60	33
H158184	92		80	60	33
H158223	86		80	60	34
H158271	110	100	80	60	34
H158273	117	99	79	58	33
H134768	77			60	39
H158493	89		80	60	33
H134738	91		80	60	34
H158878	95		80	60	35
H158880	115	100	79	59	34
H158916	84			60	32
H158917	101		80	60	35
H158918	88		80	60	34
H158919	146	100	80	60	36
H159103	107	100	80	60	35
H159153	130	100	80	60	38
H159369	109	100	80	60	36
H159370	86		79	59	34
H159371	102		80	60	36
H159446	122	100	80	60	35
H195916	91		80	60	36
H195918	93		81	60	35
H195921	91		80	60	34
H195922	91		80	60	34
H195923	74			60	33
H135462	142	100	80	60	39
H195989	171	101	81	61	38
H195990	83			60	40
H195991	79			59	42
H195992	94		80	60	34
H196046	81			60	34
H196094	90		80	59	33
H196095	93		80	60	34
H196227	78			60	35
H196231	132	99	79	59	31
H196232	122	100	79	60	32
H195920	144	100	80	60	32